0|0|0|255
0|0|0|255
0|0|0|255
0|0|0|255
0|15|246|255
0|0|0|255
0|0|0|255
0|0|0|255
0|0|0|255
0|0|0|255
0|0|0|255
255|244|8|255
0|0|0|255
0|0|0|255
0|0|0|255
0|0|0|255
0|0|0|255
0|0|0|255
0|0|0|255
0|0|0|255
0|0|0|255
0|0|0|255
0|0|0|255
177|177|22|255
0|0|0|255
0|0|0|255
0|0|0|255
0|0|0|255
0|0|0|255
0|0|0|255
255|255|98|255
130|177|45|255
207|255|123|255
0|0|0|255
0|0|0|255
255|8|244|255
177|177|126|255
255|255|202|255
177|96|80|255
255|172|158|255
177|142|35|255
255|218|112|255
0|0|0|255
0|0|0|255
89|89|89|255
165|165|165|255
0|0|0|255
145|177|31|255
221|255|107|255
0|61|147|255
75|137|223|255
0|138|107|255
75|214|184|255
0|0|0|255
0|0|0|255
177|54|0|255
255|130|75|255
177|124|0|255
255|200|75|255
172|0|0|255
249|75|75|255
36|0|0|255
112|75|75|255
0|0|0|255
0|0|0|255
0|0|0|255
0|0|0|255
0|0|0|255
0|0|0|255
0|0|0|255
0|0|0|255
255|33|221|255
255|61|191|255
255|91|163|255
0|0|0|255
188|75|75|255
110|0|0|255
0|0|0|255
0|0|0|255
0|0|0|255
0|0|0|255
0|0|0|255
0|0|0|255
0|0|0|255
0|0|0|255
0|0|0|255
0|0|0|255
0|0|0|255
0|0|0|255
0|0|0|255
0|0|0|255
0|0|0|255
0|0|0|255
0|0|0|255
0|0|0|255
0|0|0|255
0|0|0|255
0|0|0|255
0|0|0|255
0|0|0|255
102|177|75|255
179|255|151|255
105|0|0|255
181|75|75|255
0|128|177|255
75|205|255|255
33|177|142|255
110|255|219|255
174|177|3|255
249|255|79|255
0|0|0|255
0|0|0|255
177|31|0|255
255|107|75|255
177|154|0|255
255|230|75|255
151|0|0|255
226|75|75|255
0|68|177|255
75|144|255|255
0|0|170|255
75|75|246|255
135|0|0|255
212|75|75|255
0|0|112|255
75|75|188|255
0|0|0|255
0|0|0|255
177|140|0|255
255|218|75|255
0|0|0|255
0|0|0|255
165|0|0|255
242|75|75|255
177|168|0|255
255|244|75|255
0|142|177|255
75|219|255|255
89|177|89|255
165|255|165|255
0|0|96|255
75|75|172|255
0|3|177|255
75|79|255|255
177|100|0|255
255|175|75|255
0|114|177|255
75|191|255|255
0|168|177|255
75|244|255|255
0|15|177|255
75|91|255|255
0|0|126|255
75|75|204|255
177|89|0|255
255|165|75|255
160|177|17|255
237|255|93|255
0|0|0|255
0|0|0|255
177|126|0|255
255|204|75|255
0|84|177|255
75|161|255|255
0|42|177|255
75|119|255|255
75|177|100|255
153|255|177|255
0|154|177|255
75|232|255|255
119|0|0|255
195|75|75|255
93|0|0|255
170|75|75|255
63|177|114|255
138|255|191|255
47|177|128|255
124|255|205|255
0|100|177|255
75|177|255|255
177|66|0|255
255|142|75|255
0|29|177|255
75|107|255|255
177|14|0|255
255|89|75|255
117|177|61|255
193|255|137|255
0|0|0|255
0|0|0|255
0|0|156|255
75|75|232|255
0|0|142|255
75|75|219|255
19|177|158|255
96|255|233|255
177|114|0|255
255|189|75|255
5|177|172|255
80|255|249|255
177|79|0|255
255|156|75|255
177|1|0|255
255|77|75|255
0|52|177|255
75|130|255|255
177|47|0|255
255|124|75|255
255|0|0|255
255|165|0|255
0|0|0|255
0|0|0|255
0|0|0|255
0|0|0|255
0|0|0|255
0|0|0|255
0|0|0|255
0|0|0|255
0|0|0|255
0|0|0|255
0|0|0|255
0|0|0|255
0|0|0|255
0|0|0|255
0|0|0|255
0|0|0|255
0|0|0|255
0|0|0|255
0|0|0|255
0|0|0|255
0|0|0|255
0|0|0|255
0|0|0|255
0|0|0|255
0|0|0|255
0|0|0|255
0|0|0|255
0|0|0|255
0|0|0|255
0|0|0|255
0|0|0|255
0|0|0|255
0|0|0|255
0|0|0|255
0|0|0|255
0|0|0|255
0|0|0|255
0|0|0|255
0|0|0|255
0|0|0|255
0|0|0|255
0|0|0|255
0|0|0|255
0|0|0|255
0|0|0|255
0|0|0|255
